¿En qué presentación sueles comprar tu kola granulada;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿En qué lugar sueles sueles comprar la kola granulada?;Que presentación acostumbras a comprar en la tienda?;¿Que presentación acostumbras comprar en el supermercado?;¿Que presentación acostumbras comprar en la tienda?;¿Que presentación acostumbras comprar en la drogueria?;¿Con que frecuencia realizas la compra de tu kola granulada?
Sobre 250g;2 veces al día;Solo una par de veces al mes;2 veces al día;Solo una par de veces al mes;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;1 vez a la semana
Sobre 25g;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;En un distribuidor de la plaza de mercado;;Sobre (sachet) 25gr;;;Cada 15 días
Tarro 200g;2 o menos veces a la semana;1 vez al día;2 o menos veces a la semana;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 200g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Sobre 100g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 135g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En una droguería;;;;Tarro 135 gr;Una vez al mes
Tarro 200g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada dos meses
Sobre 250g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Sobre (sachet) 25gr;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada dos meses
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Sobre (sachet) 25gr;;;A diario
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Una vez al mes
