"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"116","Riopaila","Riopaila","Providencia","Incauca","Incauca","Manuelita","Riopaila","Incauca","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Incauca","Incauca","Providencia","Providencia","Providencia"
"117","Riopaila","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Incauca","Manuelita","Providencia","Manuelita","Manuelita","Riopaila","Riopaila","Providencia","Manuelita","Manuelita","Riopaila","Providencia","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita"
"118","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Riopaila","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Incauca","Providencia","Riopaila","Manuelita","Providencia","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Providencia","Incauca","Providencia","Riopaila","Riopaila","Providencia","Providencia"
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Riopaila","Riopaila","Manuelita","Incauca","Manuelita","Providencia","Incauca","Incauca","Riopaila","Providencia","Incauca","Manuelita","Incauca","Incauca","Incauca","Manuelita","Manuelita","Riopaila","Incauca","Providencia","Providencia","Incauca","Manuelita","Incauca","Manuelita"
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riopaila"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Providencia","Riopaila","Riopaila","Providencia","Providencia","Providencia","Riopaila","Manuelita","Riopaila","Providencia","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"143","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Riopaila",NA,"Manuelita","Manuelita","Providencia","Providencia","Providencia","Riopaila","Manuelita","Riopaila","Providencia","Incauca",NA,"Manuelita","Providencia","Manuelita","Manuelita"
"144","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca"
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Riopaila","Providencia","Manuelita","Manuelita","Incauca","Providencia","Riopaila",NA,"Providencia",NA,"Incauca","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Manuelita","Incauca","Manuelita","Incauca","Incauca","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Incauca"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Incauca","Manuelita","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita",NA,"Incauca","Manuelita","Manuelita","Providencia","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca"
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Manuelita","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Providencia","Incauca","Manuelita","Manuelita","Incauca","Providencia","Providencia","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"172","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"173","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Riopaila",NA,"Manuelita","Manuelita","Providencia","Incauca","Providencia","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita"
"174","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuelita","Manuelita"
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"180","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita",NA,"Manuelita","Manuelita","Manuelita","Manuelita"
"181","Manuelita","Riopaila","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Incauca","Manuelita"
"182","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Riopaila","Providencia","Providencia","Riopaila","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"183","Manuelita","Manuelita","Manuelita","Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Riopaila",NA,"Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Manuelita","Incauca","Providencia","Manuelita","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Providencia","Providencia","Manuelita","Riopaila","Providencia","Riopaila","Incauca","Providencia","Incauca"
"187","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Manuelita","Providencia","Incauca","Incauca","Providencia","Incauca","Providencia","Incauca","Providencia","Incauca","Providencia","Incauca","Incauca","Providencia","Riopaila","Incauca","Incauca"
"192","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Providencia","Riopaila",NA,"Manuelita","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Riopaila","Incauca","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Manuelita"
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Riopaila","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Incauca","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Providencia","Providencia","Manuelita","Incauca","Manuelita","Providencia","Incauca","Riopaila","Providencia","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila"
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Riopaila","Providencia","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Incauca","Providencia","Riopaila","Manuelita","Manuelita","Providencia","Riopaila","Incauca","Manuelita","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Riopaila"
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Manuelita",NA,"Incauca","Manuelita","Riopaila","Riopaila","Incauca","Incauca","Riopaila",NA,"Manuelita","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Incauca","Riopaila","Incauca","Incauca","Incauca"
"202","Riopaila","Providencia","Manuelita","Incauca","Manuelita","Incauca","Riopaila","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Providencia",NA,NA,NA,"Providencia",NA,NA,NA,NA,NA,NA,NA,NA
"203","Incauca","Incauca",NA,"Incauca","Incauca","Incauca","Incauca","Incauca",NA,NA,"Incauca","Incauca","Incauca",NA,"Incauca","Incauca",NA,NA,"Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Incauca","Riopaila","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Incauca","Riopaila","Incauca","Incauca","Manuelita","Incauca","Incauca","Riopaila","Incauca","Incauca","Incauca","Manuelita","Incauca"
"210","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Incauca","Providencia","Incauca","Incauca","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Providencia","Incauca","Providencia","Providencia","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia"
"213","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Incauca","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"214","Incauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incauca",NA,"Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca",NA,NA,NA,"Incauca",NA,NA,"Incauca",NA,"Incauca","Incauca","Incauca","Incauca",NA,"Incauca","Incauca","Incauca","Incauca","Incauca"
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incauca"
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Riopaila","Incauca","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila","Incauca","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Incauca","Incauca","Manuelita"
"231","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita"
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Incauca","Riopaila","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Riopaila"
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia",NA,"Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita"
"236","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Manuelita"
"237","Incauca","Incauca","Incauca","Manuelita","Incauca","Riopaila","Providencia","Incauca","Riopaila","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Manuelita","Manuelita","Incauca","Riopaila","Providencia","Incauca","Incauca","Manuelita","Manuelita"
"238","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia"
"241","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca"
"242","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita",NA,"Manuelita","Providencia","Manuelita","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Manuelita"
"243","Manuelita","Riopaila","Incauca","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Manuelita","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca"
"244","Riopaila","Incauca","Riopaila","Manuelita","Incauca","Incauca","Riopaila","Incauca","Providencia","Providencia","Incauca","Riopaila","Riopaila","Providencia","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Riopaila","Incauca"
"245","Manuelita","Incauca","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Riopaila","Riopaila","Providencia","Riopaila","Manuelita","Riopaila","Manuelita","Incauca","Manuelita","Providencia","Incauca","Manuelita","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Providencia"
"246","Incauca","Manuelita","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Providencia","Riopaila","Incauca","Incauca","Incauca",NA,"Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
