"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"44","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Incauca","Incauca","Incauca","Riopaila","Providencia","Incauca","Riopaila","Riopaila","Riopaila","Riopaila"
"45","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"46","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Riopaila","Manuelita"
"47","Manuelita","Incauca","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Riopaila","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca","Riopaila","Manuelita","Incauca","Incauca","Manuelita","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Providencia"
"48","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Riopaila","Riopaila","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Riopaila","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"49","Riopaila","Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Riopaila","Incauca","Providencia","Riopaila","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"50","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Riopaila","Riopaila","Manuelita","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca"
"51","Riopaila",NA,"Riopaila","Manuelita","Incauca","Riopaila","Riopaila","Riopaila","Incauca","Providencia","Riopaila","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila"
"52","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"53","Riopaila","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Manuelita","Riopaila","Riopaila",NA,"Riopaila","Riopaila","Manuelita","Providencia","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Riopaila",NA,NA,NA,NA,"Riopaila","Riopaila","Incauca",NA,"Providencia","Manuelita","Incauca","Riopaila","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Riopaila","Riopaila","Manuelita","Incauca","Riopaila","Manuelita"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Manuelita","Providencia","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Riopaila","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Providencia","Manuelita","Providencia","Providencia"
"58","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Providencia","Manuelita","Manuelita","Incauca","Incauca","Providencia","Providencia","Providencia"
