"","P17_1","P17_2","P17_3"
"71","Ubicación","Seguridad","Variedad de tiendas para mi"
"72","Opciones de servicios (bancos, salud, servirtecas, etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación"
"73","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Precios","Ubicación"
"74","Seguridad","Ubicación","Variedad de tiendas para mi"
"75","Variedad de tiendas para mi","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"76","Ubicación","Precios","Variedad de tiendas para mi"
"77","Ubicación","Precios","Variedad de tiendas para mi"
"78","Seguridad","Ubicación","Variedad de tiendas para mi"
"79","Seguridad","Que no cobren el parqueadero","Facilidad y amplitud del Estacionamiento"
"80","Que realicen ferias y/o eventos de mi interés","Ubicación","Variedad de tiendas para mi"
"81","Seguridad","Ubicación","Ambiente en general (como se siente)"
"82","Ubicación","Que realicen ferias y/o eventos de mi interés","Variedad de tiendas para mi"
"83","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)","Facilidad y amplitud del Estacionamiento"
"84","Ambiente en general (como se siente)","Seguridad","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"85","Que realicen ferias y/o eventos de mi interés","Ubicación","Variedad de tiendas para mi"
"86","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Que no cobren el parqueadero","Variedad de tiendas para mi"
"87","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Precios"
"88","Que realicen ferias y/o eventos de mi interés","Ubicación","Seguridad"
"89","Facilidad y amplitud del Estacionamiento","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación"
"90","Precios","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación"
"91","Que realicen ferias y/o eventos de mi interés","Precios","Ambiente en general (como se siente)"
"92","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de servicios (bancos, salud, servirtecas, etc)","Precios"
"93","Seguridad","Variedad de tiendas para mi","Ubicación"
"94","Precios","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"95","Ubicación","Precios","Variedad de tiendas para mi"
"96","Opciones de tiendas para toda la familia",NA,NA
"97","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"98","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Variedad de tiendas para mi"
"99","Variedad de tiendas para mi","Precios","Ubicación"
"100","Opciones de servicios (bancos, salud, servirtecas, etc)","Variedad de tiendas para mi","Que no cobren el parqueadero"
"101","Ubicación","Precios","Variedad de tiendas para mi"
"102","Ubicación","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés"
"103","Ambiente en general (como se siente)","Opciones de tiendas para toda la familia","Ubicación"
"104","Variedad de tiendas para mi","Ubicación","Precios"
"105","Que realicen ferias y/o eventos de mi interés","Ubicación","Variedad de tiendas para mi"
"106","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación","Opciones de tiendas para toda la familia"
"107","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de servicios (bancos, salud, servirtecas, etc)"
"108","Que realicen ferias y/o eventos de mi interés","Ubicación","Ambiente en general (como se siente)"
"109","Seguridad","Ubicación","Precios"
"110","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"111","Ubicación","Seguridad","Facilidad y amplitud del Estacionamiento"
"112","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés","Ubicación"
"113","Ubicación","Ambiente en general (como se siente)","Precios"
"114","Ubicación","Precios","Variedad de tiendas para mi"
"115","Ubicación","Variedad de tiendas para mi","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"116","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Seguridad"
"117","Seguridad","Facilidad y amplitud del Estacionamiento","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"118","Variedad de tiendas para mi","Seguridad","Ambiente en general (como se siente)"
"119","Seguridad","Precios","Variedad de tiendas para mi"
"120","Variedad de tiendas para mi","Precios","Ubicación"
"121","Que realicen ferias y/o eventos de mi interés","Variedad de tiendas para mi","Que sea de fácil acceso (cantidad de entradas y salidas)"
"122","Variedad de tiendas para mi","Precios","Ubicación"
"123","Seguridad","Ubicación","Precios"
"124","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"125","Que no cobren el parqueadero","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"126","Que realicen ferias y/o eventos de mi interés","Variedad de tiendas para mi","Ubicación"
"127","Seguridad","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"128","Que realicen ferias y/o eventos de mi interés","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Precios"
"129","Ubicación","Precios","Seguridad"
"130","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Variedad de tiendas para mi","Ubicación"
"131","Que no cobren el parqueadero","Ubicación","Variedad de tiendas para mi"
"132","Precios","Ubicación","Variedad de tiendas para mi"
"133","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Variedad de tiendas para mi","Ubicación"
"134","Variedad de tiendas para mi","Precios","Seguridad"
"135","Ubicación","Precios","Variedad de tiendas para mi"
"136","Opciones de tiendas para toda la familia","Ubicación","Precios"
"137","Variedad de tiendas para mi","Ubicación","Precios"
"138","Variedad de tiendas para mi","Precios","Ubicación"
"139","Ubicación","Seguridad","Variedad de tiendas para mi"
"140","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ambiente en general (como se siente)"
"141","Variedad de tiendas para mi","Precios","Ubicación"
"142","Variedad de tiendas para mi","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Precios"
"143","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de servicios (bancos, salud, servirtecas, etc)"
"144","Ambiente en general (como se siente)","Variedad de tiendas para mi","Ubicación"
