"","P17_1","P17_2","P17_3"
"351","Seguridad","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación"
"352","Seguridad","Ubicación","Variedad de tiendas para mi"
"353","Precios","Seguridad","Que realicen ferias y/o eventos de mi interés"
"354","Ubicación","Precios","Variedad de tiendas para mi"
"355","Variedad de tiendas para mi","Seguridad","Ubicación"
"356","Seguridad","Ubicación","Ambiente en general (como se siente)"
"357","Ubicación","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"358","Ubicación","Que sea de fácil acceso (cantidad de entradas y salidas)","Precios"
"359","Ubicación","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés"
"360","Ubicación","Variedad de tiendas para mi","Precios"
"361","Ambiente en general (como se siente)","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"362","Ubicación","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"363","Opciones de servicios (bancos, salud, servirtecas, etc)","Seguridad","Precios"
"364","Ubicación","Precios","Variedad de tiendas para mi"
"365","Variedad de tiendas para mi",NA,NA
"366","Ubicación","Que no cobren el parqueadero","Seguridad"
"367","Ubicación","Seguridad","Precios"
"368","Que no cobren el parqueadero",NA,NA
"369","Opciones de tiendas para toda la familia","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"370","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de servicios (bancos, salud, servirtecas, etc)","Variedad de tiendas para mi"
"371","Que no cobren el parqueadero","Ubicación","Variedad de tiendas para mi"
"372","Precios",NA,NA
"373","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Variedad de tiendas para mi"
"374","Variedad de tiendas para mi","Ambiente en general (como se siente)","Seguridad"
"375","Variedad de tiendas para mi","Precios","Ubicación"
"376","Ubicación","Que no cobren el parqueadero","Que realicen ferias y/o eventos de mi interés"
"377","Seguridad","Facilidad y amplitud del Estacionamiento","Opciones de tiendas para toda la familia"
"378","Variedad de tiendas para mi","Seguridad","Ambiente en general (como se siente)"
"379","Ubicación","Precios","Que realicen ferias y/o eventos de mi interés"
"380","Precios","Ubicación","Ambiente en general (como se siente)"
"381","Precios","Seguridad","Ubicación"
"382","Ubicación",NA,NA
"383","Variedad de tiendas para mi","Facilidad y amplitud del Estacionamiento","Ambiente en general (como se siente)"
"384","Ubicación","Variedad de tiendas para mi","Seguridad"
"385","Ubicación","Variedad de tiendas para mi","Precios"
"386","Ubicación","Precios","Variedad de tiendas para mi"
"387","Precios","Ubicación","Seguridad"
"388","Ubicación","Variedad de tiendas para mi","Seguridad"
"389","Precios","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"390","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Precios","Ubicación"
"391","Precios","Ubicación","Variedad de tiendas para mi"
"392","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Precios"
"393","Seguridad","Que realicen ferias y/o eventos de mi interés","Ubicación"
"394","Seguridad","Ambiente en general (como se siente)","Opciones de tiendas para toda la familia"
"395","Seguridad","Ubicación","Opciones de tiendas para toda la familia"
"396","Seguridad","Ubicación","Ambiente en general (como se siente)"
"397","Ubicación","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"398","Ambiente en general (como se siente)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de tiendas para toda la familia"
"399","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés","Ubicación"
"400","Ubicación","Precios","Seguridad"
