"","Variable","Categoria","Frecuencia","Porcentaje"
"1","Q28","La conexión entre el cuidado oral y una vida saludable",23,5.98958333333333
"2","Q28","La idea de que productos de buena calidad pueden ser económicos",45,11.71875
"3","Q28","La importancia de elegir productos que ofrezcan una buena relación calidad-precio",37,9.63541666666667
"4","Q28","La recomendación de mantener buenos hábitos de higiene para evitar gastos mayores",32,8.33333333333333
"5","Q28","La relación entre el cuidado oral y la  economía",158,41.1458333333333
"6","Q28","La tranquilidad de cuidar la salud oral sin afectar el presupuesto",18,4.6875
"7","Q28","Me habla de un producto de calidad que es  accesible ",70,18.2291666666667
"8","Q28","Otro ¿Cuál?",1,0.260416666666667
